Item,rating,ranking
LAA,1.0,1
CIN,0.7680310160529463,2
DET,0.7352429508942548,3
BOS,0.6955535785844192,4
NYM,0.6797828414453801,5
MIL,0.6797317465240854,6
OAK,0.6628061752895853,7
LAD,0.6099250290894639,8
CHC,0.5956858338838631,9
ATL,0.5797611123271478,10
COL,0.5350460549511272,11
ARI,0.49536988464999326,12
MIN,0.49341692531268067,13
SD,0.46814824233374613,14
STL,0.4565604923286787,15
HOU,0.4544034118582699,16
PHI,0.4528870852808789,17
MIA,0.44276858988845963,18
SF,0.4327301885170264,19
NYY,0.4313020634628191,20
TOR,0.34573896072023536,21
TEX,0.31137521492573106,22
BAL,0.2581503398152914,23
PIT,0.19593039030991963,24
WSH,0.19537014843424416,25
KC,0.18414746619600036,26
CHW,0.1595078370149362,27
CLE,0.09544076819303814,28
SEA,0.053628675591560745,29
TB,0.0,30
