Item,rating,ranking
BAL,1.0,1
PIT,0.9886328344850576,2
GB,0.9681705404011749,3
NE,0.9178807479878638,4
NO,0.9176491664857923,5
IND,0.9111464375795805,6
PHI,0.8065323629779497,7
LAC,0.7894596450173008,8
SEA,0.7628071348969433,9
ATL,0.7455985651158322,10
DAL,0.723903768040218,11
NYG,0.710675724979881,12
SF,0.6869798752948926,13
ARI,0.6846690027545711,14
MIN,0.6767173624930042,15
HOU,0.6514619782711154,16
MIA,0.6428245923130881,17
CAR,0.6215933927876585,18
CHI,0.5902133756762165,19
NYJ,0.5367474800229645,20
WSH,0.4823688580484608,21
CIN,0.4537164845354971,22
TEN,0.4436210625182027,23
DEN,0.42071520636425574,24
TB,0.29202020548874896,25
KC,0.26595259237302243,26
CLE,0.17332166755744063,27
LAR,0.10652678591620231,28
BUF,0.05210551367784417,29
LV,0.04661975039937462,30
DET,0.003743194134365839,31
JAX,0.0,32
